sequence	bank	text_id	kind	source_location	packed_bytes	japanese_exact	japanese_readable	mechanical_romaji	normalized_japanese_aid	current_english_exact	current_english_readable	source_controls	english_controls	control_match	script_profile	voice_dialect_register	orthography_kanji_katakana	comparison_flags	review_priority	proposed_retranslation	reviewer_notes
32	TT1A	TT1A/g0/r31	scenario	group 0 @ 0xA4C2; record 31	group-compressed	………………………………{CTRL:1}かわってるな……{CTRL:0}おまじないか なんかかな！{CTRL:6}{CTRL:4}{CTRL:3}まあ いいや… ぜんはいそげだ／	……………………………… ⟦CTRL:1⟧ かわってるな…… ⟦CTRL:0⟧ おまじないか なんかかな！ ⟦CTRL:6⟧  ⟦CTRL:4⟧  ⟦CTRL:3⟧ まあ いいや… ぜんはいそげだ／	……………………………… / kawatteruna…… / omajinaika nankakana！ /  /  / maa iiya… zenhaisogeda／	………………………………かわってるな……おまじないか なんかかな！まあ いいや… ぜんはいそげだ／	............{CTRL:1}That is a strange one...{CTRL:0}maybe it is some spell?{CTRL:6}{CTRL:4}{CTRL:3}Well... no time to lose!	............ ⟦CTRL:1⟧ That is a strange one... ⟦CTRL:0⟧ maybe it is some spell? ⟦CTRL:6⟧  ⟦CTRL:4⟧  ⟦CTRL:3⟧ Well... no time to lose!	1,0,6,4,3	1,0,6,4,3	yes	hiragana:29; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context	ellipsis carries timing/hesitation tone	medium		
33	TT1A	TT1A/g1/r0	scenario	group 1 @ 0xA99E; record 0	group-compressed	……たいへん しつれいいたしました{CTRL:0}そのことばは……{CTRL:0}「きみがほほえむと たいようがのぼって{CTRL:0} くるようだ」です{CTRL:3}ごりよう ありがとうございました	……たいへん しつれいいたしました ⟦CTRL:0⟧ そのことばは…… ⟦CTRL:0⟧ 「きみがほほえむと たいようがのぼって ⟦CTRL:0⟧  くるようだ」です ⟦CTRL:3⟧ ごりよう ありがとうございました	……taihen shitsureiitashimashita / sonokotobaha…… / 「kimigahohoemuto taiyouganobotte /  kuruyouda」desu / goriyou arigatougozaimashita	……たいへん しつれいいたしましたそのことばは……「きみがほほえむと たいようがのぼって くるようだ」ですごりよう ありがとうございました	"... Forgive our mistake.{CTRL:0}Your magic words are:{CTRL:0}""Your smile makes the{CTRL:0}sun rise.""{CTRL:3}Thanks for using us."	"... Forgive our mistake. ⟦CTRL:0⟧ Your magic words are: ⟦CTRL:0⟧ ""Your smile makes the ⟦CTRL:0⟧ sun rise."" ⟦CTRL:3⟧ Thanks for using us."	0,0,0,3	0,0,0,3	yes	hiragana:59; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		ことば → 言葉	ellipsis carries timing/hesitation tone	low		
34	TT1A	TT1A/g1/r1	scenario	group 1 @ 0xA99E; record 1	group-compressed	もうすぐ21せいき……{CTRL:1}でもひとびとは それほどあたらしいじだいを{CTRL:0}かんげいしてるわけじゃない{CTRL:6}あいかわらず せかいのあちこちではあらそいが{CTRL:4}たえないし{CTRL:3}かんきょうはかいや しょくりょうぶそくは{CTRL:4}ますます しんこくになっている{CTRL:3}ちきゅうのみらいは だれがみたって{CTRL:4}ふあんだらけだ	もうすぐ21せいき…… ⟦CTRL:1⟧ でもひとびとは それほどあたらしいじだいを ⟦CTRL:0⟧ かんげいしてるわけじゃない ⟦CTRL:6⟧ あいかわらず せかいのあちこちではあらそいが ⟦CTRL:4⟧ たえないし ⟦CTRL:3⟧ かんきょうはかいや しょくりょうぶそくは ⟦CTRL:4⟧ ますます しんこくになっている ⟦CTRL:3⟧ ちきゅうのみらいは だれがみたって ⟦CTRL:4⟧ ふあんだらけだ	mousugu21seiki…… / demohitobitoha sorehodoatarashiijidaio / kangeishiteruwakejanai / aikawarazu sekainoachikochidehaarasoiga / taenaishi / kankyouhakaiya shokuryoubusokuha / masumasu shinkokuninatteiru / chikyuunomiraiha daregamitatte / fuandarakeda	もうすぐ21せいき……でもひとびとは それほどあたらしいじだいをかんげいしてるわけじゃないあいかわらず せかいのあちこちではあらそいがたえないしかんきょうはかいや しょくりょうぶそくはますます しんこくになっているちきゅうのみらいは だれがみたってふあんだらけだ	The new century nears...{CTRL:1}few people welcome it.{CTRL:0}Across the world,{CTRL:6}conflicts still rage,{CTRL:4}with no end in sight.{CTRL:3}Nature is being ruined{CTRL:4}and food grows scarce.{CTRL:3}Earth's future clearly{CTRL:4}is full of uncertainty.	The new century nears... ⟦CTRL:1⟧ few people welcome it. ⟦CTRL:0⟧ Across the world, ⟦CTRL:6⟧ conflicts still rage, ⟦CTRL:4⟧ with no end in sight. ⟦CTRL:3⟧ Nature is being ruined ⟦CTRL:4⟧ and food grows scarce. ⟦CTRL:3⟧ Earth's future clearly ⟦CTRL:4⟧ is full of uncertainty.	1,0,6,4,3,4,3,4	1,0,6,4,3,4,3,4	yes	hiragana:122; katakana:0; kanji:0; Latin:0; digits:2; phonetic hiragana orthography	じゃ: old-person/western-style copula; context decides voice versus region	じだい → 時代 | みらい → 未来 | せかい → 世界	source numerals ['21']; verify dates/counts and Japanese ordering | ellipsis carries timing/hesitation tone	medium		
35	TT1A	TT1A/g1/r2	scenario	group 1 @ 0xA99E; record 2	group-compressed	そんなわけで まよえるげんだいじんは{CTRL:0}「うらない」に すくいをもとめはじめた{CTRL:2}くらいせそうをのりきるには{CTRL:0}みずさきあんないにんが ひつようというわけだ{CTRL:3}これがふしぎと あたるからおもしろい	そんなわけで まよえるげんだいじんは ⟦CTRL:0⟧ 「うらない」に すくいをもとめはじめた ⟦CTRL:2⟧ くらいせそうをのりきるには ⟦CTRL:0⟧ みずさきあんないにんが ひつようというわけだ ⟦CTRL:3⟧ これがふしぎと あたるからおもしろい	sonnawakede mayoerugendaijinha / 「uranai」ni sukuiomotomehajimeta / kuraisesouonorikiruniha / mizusakiannaininga hitsuyoutoiuwakeda / koregafushigito atarukaraomoshiroi	そんなわけで まよえるげんだいじんは「うらない」に すくいをもとめはじめたくらいせそうをのりきるにはみずさきあんないにんが ひつようというわけだこれがふしぎと あたるからおもしろい	So, people adrift today{CTRL:0}seek hope in fortunes.{CTRL:2}Dark times need a guide{CTRL:0}to show the way.{CTRL:3}Strangely, it works.	So, people adrift today ⟦CTRL:0⟧ seek hope in fortunes. ⟦CTRL:2⟧ Dark times need a guide ⟦CTRL:0⟧ to show the way. ⟦CTRL:3⟧ Strangely, it works.	0,2,0,3	0,2,0,3	yes	hiragana:84; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		うらない → 占い | だいじ → 大事		low		
36	TT1B	TT1B/g0/r0	scenario	group 0 @ 0xADE4; record 0	group-compressed	ついたぞ…… 「あくまはくぶつかん」{CTRL:1}いちどこようと おもってたんだ	ついたぞ…… 「あくまはくぶつかん」 ⟦CTRL:1⟧ いちどこようと おもってたんだ	tsuitazo…… 「akumahakubutsukan」 / ichidokoyouto omottetanda	ついたぞ…… 「あくまはくぶつかん」いちどこようと おもってたんだ	The Devil Museum...{CTRL:1}I've wanted to visit.	The Devil Museum... ⟦CTRL:1⟧ I've wanted to visit.	1	1	yes	hiragana:27; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	ぞ: forceful assertion or command emphasis	はくぶつかん → 博物館 | あくま → 悪魔	ellipsis carries timing/hesitation tone	medium		
37	TT1B	TT1B/g0/r1	scenario	group 0 @ 0xADE4; record 1	group-compressed	さいごにあおぞらをみたのは いつだっけ	さいごにあおぞらをみたのは いつだっけ	saigoniaozoraomitanoha itsudakke	さいごにあおぞらをみたのは いつだっけ	Blue sky... when was it?	Blue sky... when was it?			yes	hiragana:18; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
38	TT1B	TT1B/g0/r2	scenario	group 0 @ 0xADE4; record 2	group-compressed	{CTRL:0}なんていってる ばあいじゃない／	⟦CTRL:0⟧ なんていってる ばあいじゃない／	 / nanteitteru baaijanai／	なんていってる ばあいじゃない／	{CTRL:0}No time for that now!	⟦CTRL:0⟧ No time for that now!	0	0	yes	hiragana:14; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	じゃ: old-person/western-style copula; context decides voice versus region	Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
39	TT1B	TT1B/g0/r3	scenario	group 0 @ 0xADE4; record 3	group-compressed	ここにはまだ みどりがある	ここにはまだ みどりがある	kokonihamada midorigaaru	ここにはまだ みどりがある	Some greenery remains.	Some greenery remains.			yes	hiragana:12; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
40	TT1B	TT1B/g0/r4	scenario	group 0 @ 0xADE4; record 4	group-compressed	ちきしょう／ どこいった／	ちきしょう／ どこいった／	chikishou／ dokoitta／	ちきしょう／ どこいった／	Damn! Where did it go?	Damn! Where did it go?			yes	hiragana:10; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
41	TT1B	TT1B/g0/r5	scenario	group 0 @ 0xADE4; record 5	group-compressed	いりぐちに ふだがかかっている	いりぐちに ふだがかかっている	iriguchini fudagakakatteiru	いりぐちに ふだがかかっている	A sign is on the door.	A sign is on the door.			yes	hiragana:14; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
42	TT1B	TT1B/g0/r6	scenario	group 0 @ 0xADE4; record 6	group-compressed	「ほんじつ きゅうかんび{CTRL:1} ごようのあるかたは きょうかいまで」	「ほんじつ きゅうかんび ⟦CTRL:1⟧  ごようのあるかたは きょうかいまで」	「honjitsu kyuukanbi /  goyounoarukataha kyoukaimade」	「ほんじつ きゅうかんび ごようのあるかたは きょうかいまで」	"""Closed today.{CTRL:1}Inquire at the church."""	"""Closed today. ⟦CTRL:1⟧ Inquire at the church."""	1	1	yes	hiragana:26; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		きょうかい → 教会		low		
43	TT1B	TT1B/g0/r7	scenario	group 0 @ 0xADE4; record 7	group-compressed	おれは あくむをみてるんだろうか……	おれは あくむをみてるんだろうか……	oreha akumuomiterundarouka……	おれは あくむをみてるんだろうか……	Is this a nightmare...?	Is this a nightmare...?			yes	hiragana:15; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	おれ: plain-to-rough masculine first person	Source suppresses normal kanji/katakana distinctions; restore only with context	ellipsis carries timing/hesitation tone	medium		
44	TT1B	TT1B/g0/r8	scenario	group 0 @ 0xADE4; record 8	group-compressed	おれ「げっ／」{CTRL:0}ぼろぼろと からだがくずれていく／	おれ「げっ／」 ⟦CTRL:0⟧ ぼろぼろと からだがくずれていく／	ore「ge／」 / bboroboroto karadagakuzureteiku／	おれ「げっ／」ぼろぼろと からだがくずれていく／	Me: Agh!{CTRL:0}My body's falling apart!	Me: Agh! ⟦CTRL:0⟧ My body's falling apart!	0	0	yes	hiragana:19; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	おれ: plain-to-rough masculine first person	からだ → 体		medium		
45	TT1B	TT1B/g0/r9	scenario	group 0 @ 0xADE4; record 9	group-compressed	あああ…… このままでは やばいぞ／	あああ…… このままでは やばいぞ／	aaa…… konomamadeha yabaizo／	あああ…… このままでは やばいぞ／	Aah... this is bad!	Aah... this is bad!			yes	hiragana:13; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context	ellipsis carries timing/hesitation tone	medium		
46	TT1B	TT1B/g0/r10	scenario	group 0 @ 0xADE4; record 10	group-compressed	だれもいない	だれもいない	daremoinai	だれもいない	Nobody is here.	Nobody is here.			yes	hiragana:6; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
47	TT1B	TT1B/g0/r11	scenario	group 0 @ 0xADE4; record 11	group-compressed	かぎが かかっている	かぎが かかっている	kagiga kakatteiru	かぎが かかっている	It is locked.	It is locked.			yes	hiragana:9; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
48	TT1B	TT1B/g0/r12	scenario	group 0 @ 0xADE4; record 12	group-compressed	かぎをつかって なかへはいった	かぎをつかって なかへはいった	kagiotsukatte nakahehaitta	かぎをつかって なかへはいった	I unlock it and enter.	I unlock it and enter.			yes	hiragana:14; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
49	TT1B	TT1B/g0/r13	scenario	group 0 @ 0xADE4; record 13	group-compressed	ばらばらに こわれている	ばらばらに こわれている	barabarani kowareteiru	ばらばらに こわれている	It is smashed to pieces.	It is smashed to pieces.			yes	hiragana:11; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
50	TT1B	TT1B/g0/r14	scenario	group 0 @ 0xADE4; record 14	group-compressed	「さばとのはこ」{CTRL:0}{CTRL:2}ちゅうせいのよーろっぱで まじょのしゅうかいに{CTRL:6}つかわれたはこ{CTRL:3}あくまとかわした たましいのけいやくしょを{CTRL:4}おさめたといわれている	「さばとのはこ」 ⟦CTRL:0⟧  ⟦CTRL:2⟧ ちゅうせいのよーろっぱで まじょのしゅうかいに ⟦CTRL:6⟧ つかわれたはこ ⟦CTRL:3⟧ あくまとかわした たましいのけいやくしょを ⟦CTRL:4⟧ おさめたといわれている	「sabatonohako」 /  / chuuseinoyooroppade majonoshuukaini / tsukawaretahako / akumatokawashita tamashiinokeiyakushoo / osametatoiwareteiru	「さばとのはこ」ちゅうせいのよーろっぱで まじょのしゅうかいにつかわれたはこあくまとかわした たましいのけいやくしょをおさめたといわれている	"""Sabbath Box""{CTRL:0}{CTRL:2}Used in medieval Europe{CTRL:6}witches' rites.{CTRL:3}Said to hold contracts{CTRL:4}for souls sold to devils"	"""Sabbath Box"" ⟦CTRL:0⟧  ⟦CTRL:2⟧ Used in medieval Europe ⟦CTRL:6⟧ witches' rites. ⟦CTRL:3⟧ Said to hold contracts ⟦CTRL:4⟧ for souls sold to devils"	0,2,6,3,4	0,2,6,3,4	yes	hiragana:65; katakana:1; kanji:0; Latin:0; digits:0	わし: elderly or authoritative masculine first person; character voice, not necessarily regional	たましい → 魂 | あくま → 悪魔		medium		
